sponsor,effective_date,call_type,operator_tadig,operator_name,country_name,bparty_iso,bparty_prefix,bparty_name,currency,setup_charge,traffic_interval_1,traffic_interval_n,traffic_interval_unit,traffic_charge_1,traffic_charge_n,traffic_charge_unit
TELZ4,2023-11-01,VOICE_MO,FRAF4,Digicel Antilles Francaises Guyane (French West In,Martinique,,"44",United Kingdom,GBP,,60,60,seconds,1.79971895000000000000,1.79971895000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FRAFM,Free Mobile,France,,"44",United Kingdom - Premium UK 448,GBP,,1,1,seconds,0.99984381000000000000,0.99984381000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FRATK,Onati S.A.S.,French Polynesia,,"44",United Kingdom,GBP,,60,60,seconds,2.3669845411000000,2.3669845411000000,minutes
TELZ4,2023-11-01,VOICE_MO,FROFT,FT Samskifti,Faroe Islands,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,60,60,seconds,0.02499605500000000000,0.02499605500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FROKA,S�n hf.,Faroe Islands,,"44",United Kingdom,GBP,,1,1,seconds,0.11998122500000000000,0.11998122500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1",United States,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1204",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1226",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1236",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1242",Bahamas,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1246",Barbados,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1249",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1250",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1257",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1263",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1264",Anguilla,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1268",Antigua and Barbuda,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1273",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1284",Virgin islands (British),GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1289",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1306",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1340",Virgin islands (US),GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1343",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1345",Cayman Islands,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,GBRCN,Virgin Media O2,United Kingdom,,"1354",Canada,GBP,,1,1,seconds,0.03064175000000000000,0.03064175000000000000,minutes
